alimento,Proteína (g),Fibras (g),Gorduras (Totais) (g),Vitamina C (mg),Cálcio (mg),Ferro (mg),Magnésio (mg),Zinco (mg)
Abacate,12.0,63.0,84.0,81.0,87.0,0.0019,197.0,2.0
Alho,0.07,43.0,6.0,248.0,448.0,21.0,0.28,6.0
Arroz (em casca),2.4,1.27,1.59,0.45,5.83,0.33,23.6,0.51
Aveia (em grão),169.0,106.0,69.0,0.0,0.54,0.0472,1.77,0.0397
Banana (nanica),13.0,0.02,1.0,91.0,0.03,3.0,279.0,1.0
Batata-doce (cozida),6.0,22.0,2.0,129.0,0.18,3.0,0.1,1.0
Batata-inglesa (cozida),12.0,13.0,1.0,74.0,0.03,3.0,165.0,2.0
"Café (pó, torrado)",134.0,243.0,117.0,0.0,1.41,46.0,2.0,5.0
Cebola (crua),13.0,21.0,1.0,59.0,157.0,2.0,0.1,2.0
"Feijão (carioca, cru)",208.0,222.0,11.0,0.0,1.25,67.0,1.7,28.0
Laranja (pera),0.01,22.0,1.0,537.0,342.0,1.0,119.0,1.0
"Maçã (fuji, com casca)",2.0,13.0,1.0,0.06,0.04,1.0,0.04,0.0
Mandioca (cozida),6.0,16.0,3.0,0.18,0.19,2.0,0.19,1.0
"Milho (em grão, cru)",94.0,73.0,47.0,0.0,0.02,0.0271,1.27,0.0221
Tomate (cru),11.0,15.0,2.0,226.0,74.0,4.0,0.1,2.0
